id;FR;EN;zh;;;;;;;;;;;;;;;;;;;;;;
P1C1N;Base du combat;Combat Basics;;;;;;;;;;;;;;;;;;;;;;;
P1C2N;Petit prince;Little prince;;;;;;;;;;;;;;;;;;;;;;;
P1C3N;Menace;Threaten;;;;;;;;;;;;;;;;;;;;;;;
P1C4N;Amasser les Richesses;Amass riches;;;;;;;;;;;;;;;;;;;;;;;
P1C5N;Bain de Sang;Blood bath;;;;;;;;;;;;;;;;;;;;;;;
P1C6N;Calmer les Tensions;Calm things down;;;;;;;;;;;;;;;;;;;;;;;
P1C7N;Conseillés Royaux;Royal advisor;;;;;;;;;;;;;;;;;;;;;;;
P1C8N;Coup Bas;Low blow;;;;;;;;;;;;;;;;;;;;;;;
P1C9N;Dueliste Expérimenté;Experienced Duelist;;;;;;;;;;;;;;;;;;;;;;;
P1C10N;Forcer le respect;forceful respect;;;;;;;;;;;;;;;;;;;;;;;
P1C11N;Garde Royale;Royal guard;;;;;;;;;;;;;;;;;;;;;;;
P1C12N;Jusqu'à la Mort;Until death;;;;;;;;;;;;;;;;;;;;;;;
P1C13N;Mener la Charge;Lead the charge;;;;;;;;;;;;;;;;;;;;;;;
P1C14N;Mise à Mort;Execution;;;;;;;;;;;;;;;;;;;;;;;
P1C15N;Opprimer les Faibles;Oppress the weak;;;;;;;;;;;;;;;;;;;;;;;
P1C16N;Roi Sans Couronne;King without crown;;;;;;;;;;;;;;;;;;;;;;;
P1C17N;Seul Contre Tous;Alone against the world;;;;;;;;;;;;;;;;;;;;;;;
P1C1D;Inflige 60% FA et gagne un bonus de 10% de resistance aux dégats pour 1 tour;"Inflict 60 % of your fortitude to target opponent, gain a bonus of 10 % to damage resistance for 1 turn";;;;;;;;;;;;;;;;;;;;;;;
P1C2D;"Gagne 10 % Radiance max
10 % FA 
Dure 2 phase";"Gain 10 % Radiance max and 10 % fortitude, stay 2 phases";;;;;;;;;;;;;;;;;;;;;;;
P1C3D;"Applique a tout les adversaires le débuff  \""Febrile \""
 \""Fébrile \""Si le porteur est frappée par le guerrier, augmente les dégats de 20% et consomme le débuff, quand consommée crée un débuff  \""crainte \"" 
 \""Crainte \"" Réduit la radiance max de 7 % et la conviction de 2 du porteur.";"Apply to each opponent the debuff  \""feverish \""         \""Feverish\"" If the holder is hit by the player, increase by 20 % the damage and consumme the debuff, when is consume create a debuff   \""apprehension \""      \ ""apprehension \"" Reduce max radiance by 7% and conviction -2 of the holder";;;;;;;;;;;;;;;;;;;;;;;
P1C4D;"Applique a tous les ennemis  \""trone d'or \"" : Ponctionne 5% de Radiance actuelle à chaque adversaire au début de son Tour
et leur applique colere : +20% de chances d'effectuer une action offensive durant son tour";Apply to all opponent  \"Golden throne \" : Puncture 5 % of the actual radiance of each opponent at the beginning of hes turn and apply to them anger : +20% chances that they do an agressiv action during his turn;;;;;;;;;;;;;;;;;;;;;;;
P1C5D;"Applique hémorragie à un adversaire cible pendant 2T
Hémorragie : Perd 15% de sa Radiance actuelle au début de son Tour";Apply hemorrhage to an opponent during 2 turn         Hemorrhage : Lose 15 % of it's actual radiance at the beginning of his turn;;;;;;;;;;;;;;;;;;;;;;;
P1C6D;"Retire tous les désavantages de l'adversaire ciblé. Pour chaque désavantage retiré, vous applique  \""Bienfaiteur \"".
Bienfaiteur : +5% de Randiance Max.
Récupère 1% de Radiance au début de son Tour";"Withdraw every debuff of the selected opponent. For each debuff withdrraw that way, apply to you  \""benefactor \"".                          Benefactor :+5 % radiance max.     At the start of turn, heal 1% of radiance max.";;;;;;;;;;;;;;;;;;;;;;;
