ID;FR;EN;ZH
CombatStartUniversel;Lancer le combat;Start the fight;开始战斗
AleaEndUniversel;Retourner à la carte;Return to map;
TutoContinue;Continuer;Continue;继续
TutoAutel1;"les trois sorts de base ; d'autres seront débloqués par la suite, achetables contre de l'Essence";the three basic spells, we will unlock more later, bought with soul crystals;三个基本咒语，其他咒语将在以后解锁，可用灵魂水晶购买
TutoAutel2;le nombre d'Essences possédées, récupérable en tuant des adversaires;the amount of soul crystals you currently possess, earned by killing opponents;当前身上的灵魂水晶数量，可通过击杀对手恢复
TutoAutel3;la description de la compétence sélectionnée;the description of the selected skill;所选技能的描述
TutoAutel4;les stats actuelles, et les modifications apportées par la compétence;current stats, and changes made by the skill;当前状态，以及技能带来的变化
TutoAutel5;le coût en Essence pour débloquer une compétence;the cost to unlock a skill;解锁技能所需的费用
TutoAutel6;le bouton d'achat;the buy button;购买按钮
TutoPerso1;Observateur;Watcher;
TutoPerso2;Premier observateur;First watcher;
TutoPerso3;Second observateur;Second watcher;
TutoPerso4;Cristaux d'essence;Soul shards;
TutoMap1;Ce “vieux parchemin” te permettra de ne pas te perdre sur le chemin de ta prochaine vie. Avance jusqu’à la prochaine étape, je dois encore te montrer certaines choses.;"This ""old parchment"" will help you not to lose your way on the path to your next life. Move forward to the next stage, I still have some things to show you.";
TutoQ1;En voilà encore un ! Décidément, c’est une journée chargée. J’espère que celui-ci ne posera pas problème…;Here comes another one! Looks like it's gonna be a long day... I hope this one won't cause trouble...;又来了一个 看来今天会很漫长... 我希望这个不会有问题...
TutoQ1R1;[Reprendre vos esprits];[Come back to your senses];[回过神来]
TutoQ2;Tu es en bien piteux état, ta mort a dû être violente... Laisse-moi arranger ça.;You are in a deplorable state, your death must have been violent. Let me help you.;你的情况很糟糕 你一定是死于暴力，让我来帮你吧
TutoQ2R1;Mort !? On est où !? Et t’es qui au juste !?;Death?! Where are we?! And who even are you?!;死亡 我们在哪儿 你又是谁
TutoQ3;"Morts, nous le sommes tous. Et pour te répondre; je suis l’Observateur qui t’a été attribué.";Dead, we all are here. And to answer your question, I am your assigned observer.;死神，我们都在这里，你也在这里，回答你的问题，我就是你的观察者
TutoQ3R1;Donc je suis mort, toi aussi, et tu es là pour me chaperonner, c’est ça ?;So... I am dead, you are too, and you're here to chaperone me, is that right ?;所以......我死了，你也死了，你是来陪我的，对吗？
TutoQ4;"Pas vraiment. Je suivrais ton parcours, mais je resterais neutre, tel est mon rôle.
";Not exactly. I am here to follow your journey, but I will remain neutral, as my role demands.;不尽然，我是来追随你的旅程的，但我必须保持中立，这是我的职责所在
TutoQ4R1;Neutre ? Tu viens de dire que tu allais m’aider, ça ne fait aucun sens !;Neutral? But you said you were gonna help me? Make it make sense!;中立？可你说你会帮我？这说不通啊！
TutoQ5;Je vais arranger ton état, pas t’aider. C’est d’ailleurs la première et dernière fois, ensuite tu devras t’en sortir seul.;I will fix your situation, not help you. This is the first and last time, then you'll be on your own.;我会 安排，而不是帮你。这将是第一次，也是最后一次，然后你就得靠自己了、
TutoQ5R1;Mais m’arranger quoi à la fin !?;What is there to fix?;安排什么
TutoQ6;Cette lumière intérieure, cette Radiance, est la seule chose qui te permet de prendre forme ici. Comment te sens tu à présent ?;Your inner light, your Radiance, is the only thing allowing you to have a substance here. There, how do you feel now?;你身上的光是你的光芒 是你在这里唯一的物质 你现在感觉怎么样？
TutoQ6R1;Mieux… Enfin, je crois. Mais qu'est-ce que je fais ici ?;Better... I guess. But what am I doing here?;好多了......我想。
TutoQ7;Tu dois y faire attention, sinon ton âme retournera dans le grand cycle et qui sait combien de temps tu y resteras.;You have to take care of it, or your soul will return to the great cycle, and who knows how long you will stay there.;你得好好照顾它 否则你的灵魂会回到大轮回 谁知道你会在那里呆上多少时间呢
TutoQ7R1;Pour rester mort, je ne dois pas mourir à nouveau... C’est bien joli, mais dans quel but exactement ?;To stay dead, I must not die again...It's cute, but what's the point?;为了不死，我就不能再死......这很可爱，但这样做的目的是什么？
TutoQ8;"C'est à toi de trouver ton objectif ; chacun doit traverser le Passage à sa manière. Si je ne peux te guider, je peux cependant te montrer. Suis-moi.";That goal is yours to find. In the Passage, everyone has to find their own path. Even if I shall not guide you, I can show you. Follow me. ;这个目标必须由你自己去寻找，每个人都必须以自己的方式穿过这条路。如果我不能指引你，但我可以告诉你。带着它跟我来吧
