;FR;EN;ZH
SN1;Frapper;Strike;
SE1;Inflige {DMG_PC} à l'adversaire ciblé.;Inflict {DMG_PC} to target opponent.;
SE1s;{DMG_PC_s};{DMG_PC_s};
SE2;Obtient {DMG_RESI_PC}.;Gain {DMG_RESI_PC}.;
SE2s;{DMG_RESI_PC_s};{DMG_RESI_PC_s};
DMG_PC;{VALUE_PCSTAT(FA)} dégâts;{VALUE_PCSTAT(FA)} damage;
DMG_PC_s;{ICON(damage)} {VALUE_PCSTAT(FA)};{ICON(damage)} {VALUE_PCSTAT(FA)};
DMG_RESI_PC;{VALUE(resi)}% de résistance aux dégats pendant {TURN_DUR};{VALUE(resi)}% damage resistance for {TURN_DUR};
DMG_RESI_PC_s;{ICON(shield)} {VALUE(resi)}% ({TURN_DUR});{ICON(shield)} {VALUE(resi)}% ({TURN_DUR});
TURN_DUR;{VALUE(turn)} tour{PLURAL(turn)};{VALUE(turn)} turn{PLURAL(turn)};
